Age,Annual Income,Spending Score,Cluster
30,151479,89,1
58,185088,95,2
62,70912,76,3
23,55460,57,3
24,153752,76,1
42,158335,40,1
27,163501,37,1
24,70476,17,0
83,47743,34,0
62,63448,3,0
37,170566,75,1
63,89355,80,3
25,87576,17,0
32,159892,96,1
51,135079,87,3
64,32869,81,3
19,198682,82,1
89,38708,97,3
65,87270,3,0
26,45518,12,0
21,199879,49,1
70,163828,36,2
24,109188,6,1
39,48212,36,0
61,141596,45,2
19,192492,57,1
79,109550,7,0
61,38132,15,0
73,170959,55,2
58,80731,23,0
90,123085,25,2
39,135748,95,3
35,71372,52,3
79,164259,96,2
57,105742,7,0
76,189412,87,2
40,64309,62,3
82,84966,66,2
84,35701,5,0
56,43376,52,3
21,118137,43,1
55,77165,86,3
24,119922,80,1
45,82425,39,0
28,149778,15,1
67,129484,80,2
69,73479,77,3
26,81259,29,0
45,147126,1,1
39,44774,12,0
27,198647,25,1
58,85181,16,0
46,87741,3,0
45,137494,68,1
63,56531,2,0
36,63564,23,0
25,198265,29,1
62,22655,39,0
36,125614,35,1
48,170509,54,1
50,101081,32,0
48,45667,95,3
49,189732,2,1
80,30718,49,0
33,134933,90,1
21,55978,34,0
38,36650,91,3
83,173558,53,2
54,29187,61,3
81,188612,45,2
44,101492,55,3
23,169008,31,1
39,145660,81,1
75,118063,35,2
19,95891,93,3
24,154402,79,1
44,112848,14,0
55,127451,31,0
60,98827,27,0
33,67969,27,0
52,60785,9,0
72,66416,53,3
72,152544,59,2
72,35507,72,3
68,167873,24,2
65,23002,32,0
81,111464,34,2
64,120469,20,0
76,85934,48,2
30,99419,4,0
68,194339,35,2
70,187033,14,2
57,164879,9,2
90,34276,98,3
65,97470,67,3
36,142836,40,1
72,62084,59,3
61,166752,93,2
46,43269,54,3
68,114111,42,2
31,75683,65,3
51,196283,31,1
37,132793,22,1
25,141598,63,1
30,195148,27,1
21,175112,33,1
65,81473,10,0
21,172147,80,1
22,106474,74,1
70,198254,13,2
71,148746,13,2
27,40263,77,3
21,115816,55,1
53,149880,32,1
51,88029,84,3
49,193839,43,1
56,54564,18,0
55,134714,96,3
84,187596,44,2
38,129717,71,1
46,48265,62,3
27,179234,97,1
53,156298,35,1
65,156022,49,2
22,158363,83,1
23,114512,25,1
18,96397,64,1
44,171517,76,1
38,181538,68,1
54,47403,42,0
88,167725,51,2
24,185297,95,1
70,160196,34,2
42,117940,82,3
74,190938,65,2
